chr	HiCcompare detected	diffHic detected	number overlap	diffHic CNV overlaps	diffHic.blacklist.overlaps	HiCcomapre mean positive M	diffHic mean positive M	HiCcompare mean negative M	diffHic mean negative M
chr1	960	344	110	0	115	1.389	0.581	-2.302	-0.626
chr2	1236	613	142	0	264	1.546	0.645	-2.262	-0.59
chr3	301	345	94	56	64	1.439	0.586	-1.936	-0.574
chr4	718	306	49	8	96	1.475	0.508	-2.095	-0.541
chr5	795	602	154	0	211	1.464	0.555	-2.113	-0.589
chr6	672	575	217	0	28	1.69	0.781	-2.262	-0.718
chr7	312	324	91	28	122	1.45	0.618	-2.278	-0.653
chr8	251	420	144	81	162	1.583	0.689	-1.818	-0.707
chr9	236	231	40	42	4	1.313	0.528	-2.071	-0.585
chr10	126	302	140	115	124	2.203	1.069	-1.19	-0.596
chr11	374	212	65	0	43	1.388	0.533	-2.177	-0.67
chr12	394	456	153	2	113	1.537	0.745	-2.276	-0.645
chr13	152	174	44	39	71	1.971	0.761	-1.949	-0.587
chr14	204	185	55	0	79	1.523	0.56	-1.947	-0.661
chr15	160	131	43	0	2	1.732	0.755	-1.939	-0.632
chr16	137	58	15	0	2	1.35	0.616	-2.17	-0.651
chr17	126	56	28	0	11	1.622	0.922	-2.349	-0.605
chr18	10	58	2	48	2	0.878	0.489	-1.057	-0.641
chr19	55	37	3	7	17	1.332	0.418	-2.191	-0.672
chr20	114	70	7	1	12	1.28	0.395	-1.78	-0.604
chr21	26	55	0	2	5	1.392	0.412	-1.499	-0.493
chrX	261	180	58	0	2	1.516	0.739	-2.104	-0.661
